time,route1,route3,route4,route6,route7,route8,route9,route10,route5,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,,,,,,,,,
595,-0.282376831,0.192375878,0.097073328,1.087771986,0.920030754,0.841353554,1.05279974,0.92305195,-0.084023515,0.247059904,0.58760761,0.525165007,0.730659352,0.365107907,-0.004185663,0.106804698,0.142230364,-0.183147271,0.028431932,,,,,,,,,
596,-0.287566766,0.144191968,0.142854251,1.120180679,0.941024243,0.896828002,1.070037824,0.998603845,-0.074056164,0.220131888,0.552292802,0.563194257,0.73347519,0.362653582,-0.002287425,0.132956924,0.086617227,-0.192810531,0.019108155,,,,,,,,,
597,-0.240253059,0.135374702,0.121195659,1.140919396,0.921480024,0.922521542,1.002452197,1.00505192,-0.006968498,0.240344901,0.610471505,0.595340558,0.688136633,0.433607207,0.048700784,0.104605631,0.115935458,-0.230547603,0.033011027,,,,,,,,,
598,-0.282189679,0.178783229,0.140419983,1.123634053,0.917199813,0.897502275,1.065289203,0.982314477,-0.058424455,0.261765326,0.623930771,0.580112006,0.685370114,0.491702515,0.011462472,0.123878678,0.159124025,-0.184228664,0.096100125,,,,,,,,,
599,-0.274900878,0.15783199,0.073010046,1.123319211,0.94715335,0.887631571,1.084573759,0.947628771,-0.031895786,0.278626745,0.63206269,0.531915951,0.698245687,0.50391995,0.048464769,0.102496429,0.170082656,-0.209752025,0.051905077,,,,,,,,,
600,-0.232312978,0.140113523,0.140740119,1.120672062,0.987515993,0.874480414,1.088353648,1.00975817,-0.031674674,0.314540783,0.626237916,0.57142382,0.740730866,0.525396134,0.04222176,0.101198257,0.193524767,-0.215882352,0.112228027,,,,,,,,,
601,-0.269327257,0.187531178,0.111003607,1.160158093,0.964866161,0.912822954,1.094678478,0.988280812,-0.02970239,0.293204828,0.674857616,0.643464718,0.723088746,0.531909539,0.021739545,0.108439417,0.175694021,-0.147050555,0.146392827,,,,,,,,,
602,-0.24346342,0.17125876,0.075489924,1.192101898,0.980245519,0.889396337,1.079566142,1.028028486,-0.009217669,0.280891927,0.724654338,0.632564839,0.715703856,0.481340084,0.053897397,0.148585994,0.208464985,-0.146675563,0.109476041,,,,,,,,,
603,-0.247734142,0.157238047,0.124624715,1.168324062,0.989401524,0.918946868,1.135322056,1.043510454,-0.02284507,0.307248902,0.758968995,0.584630546,0.741627066,0.508512241,0.075409744,0.153420323,0.203364821,-0.118596093,0.095803223,,,,,,,,,
604,-0.244213436,0.167404809,0.112543132,1.242991286,0.984551875,0.961441135,1.157969134,1.071484075,-0.013358874,0.302757611,0.703201845,0.609830442,0.773408859,0.51228924,0.048503422,0.123141311,0.186151903,-0.119134185,0.127672058,,,,,,,,,
605,-0.244138474,0.200372279,0.087097554,1.205868574,0.95838912,0.963731277,1.13917786,1.064777415,-0.001439648,0.267110891,0.593356018,0.616213763,0.755429612,0.474249284,0.046756638,0.154837954,0.256368271,-0.106966475,0.108899871,,,,,,,,,
606,-0.193682516,0.211957568,0.150877359,1.217028895,1.020373358,0.981169769,1.122397826,1.089368508,0.002330177,0.335434246,0.548111131,0.622692065,0.747135154,0.519708501,0.053597536,0.163823894,0.245634768,-0.115875239,0.095365787,,,,,,,,,
607,-0.206796482,0.266042683,0.172979282,1.217719579,1.030976548,0.970962763,1.118026641,1.087567932,0.020255775,0.323001519,0.498751169,0.691966246,0.761191861,0.557975519,0.110019985,0.18461339,0.280363635,-0.050836649,0.134732505,,,,,,,,,
608,-0.147602588,0.237084295,0.151677163,1.229416787,0.971847816,0.953576288,1.117068006,1.10832106,0.034400008,0.270293519,0.570593138,0.694464764,0.764821067,0.540247582,0.062540731,0.13516543,0.238117052,-0.109111507,0.159370914,,,,,,,,,
609,-0.162140985,0.230660214,0.170680879,1.260114526,1.024321413,1.021805746,1.134920798,1.100775531,0.014752664,0.334486513,0.535059267,0.700029792,0.763534897,0.509566924,0.091253726,0.163982584,0.296538196,-0.10414232,0.167742695,,,,,,,,,
