Var1,Var2_1,Var2_2,Var2_3,Var2_4
380,-14.25891463,-16.15659837,-12.21187755,-16.66655835
381,-14.25065998,-16.14234877,-12.17226555,-16.66317247
382,-14.24207304,-16.12722235,-12.13190715,-16.64661275
383,-14.23315895,-16.11129634,-12.0908139,-16.63030913
384,-14.22392277,-16.09481339,-12.04899716,-16.61425765
385,-14.21440775,-16.07778212,-12.00646811,-16.5984544
386,-14.20480021,-16.06021101,-11.96323778,-16.58289555
387,-14.19510159,-16.0421084,-11.91930032,-16.56757732
388,-14.18531328,-16.02348252,-11.87464373,-16.55249598
389,-14.17543669,-16.00434146,-11.82927913,-16.5337605
390,-14.16547317,-15.98468188,-11.78321746,-16.51531476
391,-14.15516674,-15.96450984,-11.73646951,-16.49715429
392,-14.14449905,-15.94383328,-11.6890459,-16.47927466
393,-14.13347568,-15.92266,-11.64101237,-16.46167155
394,-14.12210214,-15.90099768,-11.59241857,-16.44434067
395,-14.11038383,-15.87885389,-11.54327318,-16.42306866
396,-14.09833517,-15.85629534,-11.49358471,-16.40212562
397,-14.08596598,-15.83339006,-11.44336158,-16.38150647
398,-14.07328122,-15.81014339,-11.39261205,-16.36120619
399,-14.06028576,-15.78656063,-11.34138033,-16.34121986
400,-14.04698442,-15.76264696,-11.28968676,-16.32154262
401,-14.03343962,-15.73840751,-11.23753849,-16.30216969
402,-14.01974166,-15.71389429,-11.18494255,-16.27899986
403,-14.00589291,-15.6894334,-11.13190586,-16.25618836
404,-13.9918957,-15.66502402,-11.07843524,-16.23372964
405,-13.97775232,-15.64066535,-11.0245602,-16.21161824
406,-13.96344926,-15.61635661,-10.97028967,-16.1898488
407,-13.94889366,-15.59209703,-10.91562978,-16.16841602
408,-13.93408943,-15.56788585,-10.86058654,-16.14314644
409,-13.91904042,-15.54364205,-10.80516589,-16.11826765
410,-13.9037504,-15.51934138,-10.74937953,-16.09377361
411,-13.88822311,-15.49498473,-10.6933389,-16.06965838
412,-13.87480883,-15.47057296,-10.63704794,-16.04591609
413,-13.86378217,-15.44610692,-10.58051051,-16.02254097
414,-13.8551062,-15.42158746,-10.52373043,-15.99952735
415,-13.84874457,-15.3978203,-10.46671145,-15.97241533
416,-13.84466149,-15.37599478,-10.40945253,-15.94572259
417,-13.84247874,-15.35608087,-10.35193963,-15.91944266
418,-13.84196229,-15.338049,-10.29417667,-15.89356915
419,-13.84308637,-15.32187008,-10.23616752,-15.86809578
420,-13.84582561,-15.30751544,-10.17791599,-15.84301635
421,-13.85015503,-15.29486939,-10.11942583,-15.81832478
422,-13.8549809,-15.281704,-10.06072415,-15.7897675
423,-13.85846274,-15.2680273,-10.00185437,-15.76165187
424,-13.86062131,-15.25384719,-9.942819086,-15.73397105
425,-13.8614771,-15.23917145,-9.883620865,-15.70671831
426,-13.86105024,-15.22400776,-9.824262224,-15.67988703
427,-13.85937163,-15.20836366,-9.764745644,-15.6534707
428,-13.8565497,-15.19232678,-9.705135698,-15.61791808
