time,route1,route2,route3,route4,route5
255,0.228182354908007,-0.348674449699105,-0.925798672893637,-0.316056902337908,0.46713690267985
256,0.155244295049421,-0.412674200360691,-1.03039146649925,-0.388927987881941,0.42947241065494
257,0.0811444959078749,-0.475960755220477,-1.13506974913843,-0.462007162387001,0.390287101647809
258,0.00591721570395443,-0.538564071995911,-1.23978579945463,-0.535267735366283,0.349529721780358
259,-0.0704029279813252,-0.600521407985583,-1.3444931780141,-0.608684116106397,0.30715144973327
260,-0.147780992235166,-0.661876927884802,-1.44914677944937,-0.682231842623913,0.263106117616802
261,-0.226181743188032,-0.722681272368932,-1.55370288209949,-0.755887608558007,0.217350422202307
262,-0.30556969069579,-0.782991090368506,-1.65811919506923,-0.829629287954775,0.169844125696963
263,-0.38590912328497,-0.842868538181122,-1.76235490263376,-0.903435957902387,0.120550245284306
264,-0.467164143319298,-0.902380748765774,-1.86637070592002,-0.97728791898031,0.0694352306962444
265,-0.54929870234368,-0.961599274744807,-1.97012886180042,-1.05116671348875,0.0164691291282498
266,-0.632276636563477,-1.0205995087947,-2.07359321893926,-1.12505514142835,-0.0383742631421221
267,-0.716061702414,-1.07946008523993,-2.17672925093702,-1.19893727420413,-0.0951172630220569
268,-0.800617612177064,-1.13826226677223,-2.27950408652287,-1.27279846603108,-0.153778177291121
269,-0.885908069600068,-1.19708932030059,-2.38188653675031,-1.34662536302245,-0.214371194189724
270,-0.971896805474253,-1.25602588599442,-2.4838471191562,-1.42040590994616,-0.276906290331287
271,-1.05854761312564,-1.31515734361403,-2.58535807884842,-1.49412935463812,-0.341389153302079
272,-1.14582438377698,-1.37456918022641,-2.6863934064928,-1.56778625006502,-0.407821120252496
273,-1.23369114173422,-1.43434636338469,-2.78692885317486,-1.64136845403358,-0.476199132722081
274,-1.32211207935436,-1.49457272380067,-2.88694194211745,-1.7148691265463,-0.546515707878384
275,-1.41105159174963,-1.55533035146748,-2.98641197724064,-1.78828272480852,-0.618758926286457
276,-1.50047431118546,-1.61669900909118,-3.0853200485552,-1.86160499589486,-0.6929124362626
277,-1.59034514112652,-1.67875556656629,-3.18364903438709,-1.9348329670867,-0.768955474802043
278,-1.68062928988939,-1.7415734600843,-3.28138360043473,-2.00796493389729,-0.846862905006717
279,-1.77129230385722,-1.80522217929371,-3.37851019566717,-2.0810004458039,-0.926605269875827
280,-1.86230010021522,-1.86976678573941,-3.47501704507566,-2.1539402897101,-1.00814886225915
281,-1.95361899916262,-1.93526746559636,-3.57089413929721,-2.22678647116611,-1.09145581071083
282,-2.04521575556197,-2.00177911948265,-3.66613322113352,-2.2995421933777,-1.17648418092048
283,-2.13705758998268,-2.06935099188678,-3.76072776899401,-2.37221183403807,-1.26318809233841
284,-2.22911221909913,-2.13802634248074,-3.85467297729683,-2.44480092002131,-1.35151784955361
285,-2.3213478854029,-2.20784216131048,-3.94796573386701,-2.51731609997881,-1.44142008792635
286,-2.41373338619132,-2.27882892956377,-4.04060459437577,-2.58976511488369,-1.53283793292253
287,-2.50623810179188,-2.351010427314,-4.13258975387003,-2.66215676657196,-1.62571117254434
288,-2.59883202298677,-2.42440358932685,-4.22392301544605,-2.73450088433231,-1.7199764422014
289,-2.69148577759972,-2.49901840969942,-4.31460775612611,-2.80680828959917,-1.81556742131889
290,-2.78417065621056,-2.5748578957795,-4.40464889000149,-2.87909075880775,-1.91241504093398
291,-2.87685863696029,-2.65191807148754,-4.49405282871008,-2.95136098447185,-2.01044770148984
292,-2.96952240941592,-2.73018802983909,-4.58282743932068,-3.02363253454893,-2.10959149999717
293,-3.0621353974601,-2.80965003414144,-4.67098199970155,-3.09591981015934,-2.20977046569737
294,-3.15467178117432,-2.89027966701904,-4.75852715145369,-3.16823800172924,-2.31090680332877
295,-3.24710651768536,-2.97204602610748,-4.84547485049449,-3.24060304362998,-2.41292114306813
296,-3.33941536094576,-3.05491196495009,-4.93183831538075,-3.31303156738848,-2.51573279619423
297,-3.43157488041955,-3.13883437733456,-5.01763197346389,-3.3855408535458,-2.61926001549788
298,-3.5235624786466,-3.22376452302192,-5.10287140497427,-3.45814878224369,-2.72342025944531
299,-3.61535640766016,-3.30964839254956,-5.18757328513436,-3.53087378262056,-2.82813045908649
300,-3.70693578423261,-3.39642710853293,-5.27175532440437,-3.6037347811001,-2.93330728669062
301,-3.79828060392749,-3.4840373606523,-5.35543620696661,-3.67675114865874,-3.03886742508317
302,-3.88937175393466,-3.57241187128978,-5.43863552755828,-3.74994264715862,-3.14472783665722
303,-3.98019102467041,-3.66147988858092,-5.52137372676478,-3.82332937483456,-3.25080603103268
