time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,,,,,,,,,,
116,-1.746087087,-1.93635005,-1.804662963,-1.905769269,-1.930789389,-1.926727027,-1.7148996,-2.104196597,-2.157516116,-1.910545846,,,,,,,,,,
117,-1.795192192,-1.978107007,-1.833714815,-1.888697698,-1.924314515,-1.898483784,-1.739243944,-2.141923524,-2.149256256,-1.940218418,,,,,,,,,,
118,-1.844297297,-2.019863964,-1.862766667,-1.871626126,-1.919151351,-1.870240541,-1.763588288,-2.17965045,-2.140996396,-1.969890991,,,,,,,,,,
119,-1.893402402,-2.027803003,-1.891818519,-1.854554555,-1.914821021,-1.841997297,-1.783834935,-2.217377377,-2.132736537,-1.978284685,,,,,,,,,,
120,-1.942507508,-2.033184384,-1.92087037,-1.837482983,-1.910490691,-1.813754054,-1.803771672,-2.215814615,-2.124476677,-1.96273964,,,,,,,,,,
121,-1.991612613,-2.038565766,-1.949922222,-1.820411411,-1.90616036,-1.785510811,-1.823708408,-2.170752553,-2.116216817,-1.947194595,,,,,,,,,,
122,-2.040717718,-2.043947147,-1.978974074,-1.80333984,-1.90183003,-1.757267568,-1.843645145,-2.12569049,-2.107956957,-1.93164955,,,,,,,,,,
123,-2.089822823,-2.049328529,-2.008025926,-1.805625626,-1.8974997,-1.729024324,-1.863581882,-2.080628428,-2.099697097,-1.916104505,,,,,,,,,,
124,-2.138927928,-2.05470991,-2.006768769,-1.839147147,-1.893169369,-1.711462162,-1.883518619,-2.035566366,-2.115716517,-1.900559459,,,,,,,,,,
125,-2.167952252,-2.060091291,-1.972825425,-1.872668669,-1.888839039,-1.717042342,-1.903455355,-1.990504304,-2.143507708,-1.885014414,,,,,,,,,,
126,-2.153163964,-2.06422022,-1.938882082,-1.90619019,-1.884508709,-1.722622523,-1.91728038,-1.945442242,-2.171298899,-1.869469369,,,,,,,,,,
127,-2.138375676,-2.059581982,-1.904938739,-1.939711712,-1.880178378,-1.728202703,-1.888323423,-1.90038018,-2.19909009,-1.854427928,,,,,,,,,,
128,-2.123587387,-2.054943744,-1.870995395,-1.973233233,-1.891721722,-1.733782883,-1.859366466,-1.856195996,-2.226881281,-1.845541642,,,,,,,,,,
129,-2.108799099,-2.050305506,-1.837052052,-2.006754755,-1.904784885,-1.739363063,-1.83040951,-1.914723524,-2.254672472,-1.836655355,,,,,,,,,,
130,-2.094010811,-2.045667267,-1.803108709,-2.040276276,-1.917848048,-1.744943243,-1.801452553,-1.973251051,-2.282463664,-1.827769069,,,,,,,,,,
131,-2.079222523,-2.041029029,-1.769165365,-2.073797798,-1.930911211,-1.750523423,-1.772495596,-2.031778579,-2.310254855,-1.818882783,,,,,,,,,,
132,-2.064434234,-2.036390791,-1.735222022,-2.075535536,-1.943974374,-1.756103604,-1.743538639,-2.090306106,-2.338046046,-1.809996496,,,,,,,,,,
133,-2.049645946,-2.031752553,-1.70458979,-2.063367868,-1.957037538,-1.735405405,-1.714581682,-2.148833634,-2.365837237,-1.80111021,,,,,,,,,,
134,-2.034857658,-2.024508208,-1.729142743,-2.0512002,-1.970100701,-1.693434234,-1.698671672,-2.207361161,-2.371991491,-1.792223924,,,,,,,,,,
