Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
146,8.737663808,4.581958727,5.082802739,5.175047431,3.931171107,5.758468933,3.491848841,3.485894086,4.296252989,2.759349878
147,8.751580509,4.61418167,5.121896937,5.212983992,3.969186466,5.801811091,3.512036709,3.524044749,4.324983672,2.796457449
148,8.765730402,4.646404613,5.160377658,5.251401033,4.007001946,5.845153249,3.532224577,3.564431568,4.35433994,2.83389982
149,8.779880296,4.678627556,5.198791111,5.289818074,4.044458667,5.888391111,3.552412444,3.605013333,4.384208593,2.871943111
150,8.79403019,4.712309237,5.237204565,5.328235115,4.081915387,5.931485213,3.573299892,3.645595099,4.414077245,2.909986402
151,8.808659027,4.747164252,5.275618018,5.366652156,4.119372108,5.974579315,3.595111784,3.686176865,4.443945898,2.948029694
152,8.824103207,4.782019267,5.313305818,5.405376384,4.156828829,6.017673417,3.616923676,3.727291387,4.473814551,2.986072985
153,8.839547387,4.816874282,5.350957485,5.444255327,4.193625113,6.06076752,3.638735568,3.770440072,4.504109165,3.024895808
154,8.854991568,4.85280173,5.388609153,5.48313427,4.23022991,6.103861622,3.660547459,3.813588757,4.535311568,3.063944649
155,8.870435748,4.889634787,5.426258194,5.522013213,4.266834707,6.146317902,3.682889802,3.856737441,4.56651397,3.102993489
156,8.887190679,4.926467844,5.463245325,5.560892156,4.303439504,6.188555083,3.706425658,3.899886126,4.597716372,3.14204233
157,8.903987315,4.963300901,5.500232456,5.599835676,4.339864024,6.230792264,3.729961514,3.944319616,4.628918775,3.181314498
158,8.920783952,5.000861213,5.537219588,5.638793802,4.375533101,6.273029445,3.753497369,3.990062382,4.66026167,3.221522515
159,8.937580589,5.039066138,5.574177121,5.677751928,4.411202178,6.315266627,3.777033225,4.035805149,4.693042547,3.261730531
160,8.955071423,5.077271063,5.610629381,5.716710054,4.446871255,6.357401562,3.800915027,4.081547916,4.725823423,3.301938547
161,8.973089634,5.115475988,5.647081642,5.75566818,4.482540332,6.398139131,3.826324757,4.127290683,4.7586043,3.342146563
162,8.991107844,5.154127183,5.683533902,5.794243844,4.517698178,6.438876701,3.851734486,4.174968953,4.791385177,3.383232192
163,9.009126054,5.193193514,5.719948108,5.832806054,4.552529297,6.47961427,3.877144216,4.223183568,4.824166054,3.424878703
164,9.027287896,5.232259844,5.756043788,5.871368264,4.587360416,6.52035184,3.902553946,4.271398182,4.858522907,3.466525213
165,9.046164116,5.271326174,5.792139467,5.909930474,4.622191536,6.561089409,3.928084372,4.319612797,4.893139219,3.508171724
166,9.065040336,5.310658883,5.828235147,5.94840812,4.657007279,6.601018042,3.955455423,4.367991736,4.927755532,3.549861285
167,9.083916557,5.350251628,5.864315451,5.986244484,4.69127976,6.639692236,3.982826474,4.418528801,4.962371844,3.593071984
168,9.102792777,5.389844372,5.900313882,6.024080849,4.72555224,6.67836643,4.010197526,4.469065866,4.996988156,3.636282683
169,9.122081441,5.429437117,5.936312312,6.061917213,4.759824721,6.717040625,4.037568577,4.519602931,5.032849874,3.679493381
170,9.141495736,5.469108661,5.972310743,6.099753578,4.794097201,6.755714819,4.064939628,4.570139996,5.069448456,3.72270408
